Region_id,ZIP,City,Lat,Lng
310,2073,Schrattenthal,48.71641,15.90868
310,2062,Seefeld-Großkadolz,48.71616,16.18474
310,3714,Sitzendorf an der Schmida,48.5994,15.94129
310,2074,Unterretzbach,48.76696,16.00387
310,2041,Wullersdorf,48.62769,16.10062
310,2051,Zellerndorf,48.69568,15.95946
310,3710,Ziersdorf,48.52737,15.92862
311,3591,Altenburg,48.64775,15.59493
311,3595,Brunn an der Wild,48.69457,15.52036
311,2095,Drosendorf,48.86789,15.62117
311,3730,Eggenburg,48.6431,15.81651
311,3571,Gars am Kamp,48.5962,15.65923
311,2093,Geras,48.79728,15.67367
311,3713,Harmannsdorf,48.60036,15.74066
311,3580,Horn,48.66368,15.65716
311,3753,Hötzelsdorf,48.74555,15.67194
311,3754,Irnfritz,48.74002,15.55652
311,3763,Japons,48.79277,15.56876
311,2091,Langau,48.8314,15.71531
311,3761,Messern,48.71938,15.52759
311,3592,Röhrenbach,48.65534,15.50878
311,3743,Röschitz,48.66645,15.8871
311,3573,Rosenburg,48.62909,15.63797
311,3751,Sigmundsherberg,48.68636,15.74682
311,3744,Stockern,48.65248,15.73596
311,3722,Straning,48.61133,15.86104
311,3742,Theras,48.7308,15.79014
311,3752,Walkenstein,48.71642,15.72813
311,2084,Weitersfeld,48.78121,15.81089
311,2094,Zissersdorf,48.82986,15.62454
312,2102,Bisamberg,48.33163,16.36185
312,2202,Enzersfeld,48.36137,16.42421
312,2115,Ernstbrunn,48.52776,16.36161
312,2201,Gerasdorf,48.29478,16.46771
312,2002,Großmugl,48.49858,16.23034
312,2114,Großrußbach,48.47473,16.41915
312,3464,Hausleiten,48.39434,16.1025
312,2113,Karnabrunn,48.46048,16.37328
312,2100,Korneuburg,48.34371,16.33294
312,2103,Langenzersdorf,48.30972,16.35737
312,2003,Leitzersdorf,48.41781,16.24378
312,2004,Niederhollabrunn,48.44907,16.30077
312,3702,Niederrußbach,48.45311,16.03761
312,2105,Oberrohrbach,48.39698,16.29562
312,2111,Rückersdorf-Harmannsdorf,48.39605,16.37098
312,2011,Sierndorf,48.4294,16.16764
312,2104,Spillern,48.37799,16.25677
312,3463,Stetteldorf am Wagram,48.40868,16.01646
312,2000,Stockerau,48.38515,16.20825
312,2112,Würnitz,48.43004,16.42572
